# File name: C_glabrata_CBS138_S_cerevisiae_orthologs.txt
# Organism: Candida glabrata CBS138
# Genome version: s02-m07-r41
# Date created: Wed Aug 21 10:26:53 2019
# Created by: The Candida Genome Database (http://www.candidagenome.org/)
# Contact Email: candida-curator AT lists DOT stanford DOT edu
# Funding: NIDCR at US NIH, grant number 1-R01-DE015873-01
#
CAGL0J11286g		CAL0133448	YNL182C	IPI3	S000005126
CAGL0L03113g		CAL0136088	YKR030W	GMH1	S000001738
CAGL0G04851g	SUR4	CAL0129908	YLR372W	ELO3	S000004364
CAGL0G07997g		CAL0129216	YNR039C	ZRG17	S000005322
CAGL0I02288g		CAL0130436	YHR166C	CDC23	S000001209
CAGL0B03641g		CAL0127858	YEL061C	CIN8	S000000787
CAGL0E02431g		CAL0128868	YOL006C	TOP1	S000005366
CAGL0G03883g		CAL0130564	YLL026W	HSP104	S000003949
CAGL0M13233g		CAL0137261	YKL064W	MNR2	S000001547
CAGL0G05676g		CAL0130031	YDL216C	RRI1	S000002375
CAGL0D02618g	PEX11	CAL0128211	YOL147C	PEX11	S000005507
CAGL0I04928g		CAL0132242	YER093C-A	AIM11	S000002960
CAGL0J02860g		CAL0133058	YER051W	JHD1	S000000853
CAGL0H03355g		CAL0132014	YGL079W	KXD1	S000003047
CAGL0H10186g		CAL0131460	YBR058C	UBP14	S000000262
CAGL0M01892g		CAL0137345	YBR076W	ECM8	S000000280
CAGL0H01573g		CAL0130607	YDR532C	KRE28	S000002940
CAGL0F07117g		CAL0130948	YGL121C	GPG1	S000003089
CAGL0G09449g	CRH1	CAL0137545	YGR189C	CRH1	S000003421
CAGL0H09504g		CAL0131622	YER014W	HEM14	S000000816
CAGL0C01529g		CAL0127420	YPL178W	CBC2	S000006099
CAGL0J10758g		CAL0133676	YHR074W	QNS1	S000001116
CAGL0C01771g		CAL0127386	YBR241C	YBR241C	S000000445
CAGL0L13200g		CAL0135672	YLR078C	BOS1	S000004068
CAGL0H08283g	HSP10	CAL0130579	YOR020C	HSP10	S000005546
CAGL0H02299g		CAL0131724	YMR265C	YMR265C	S000004878
CAGL0M11990g		CAL0137431	YAL040C	CLN3	S000000038
CAGL0M04741g		CAL0136833	YOR288C	MPD1	S000005814
CAGL0J09196g		CAL0132780	YDL133W	SRF1	S000002291
CAGL0M06303g		CAL0136781	YBR181C	RPS6B	S000000385
CAGL0F06589g		CAL0131410	YMR065W	KAR5	S000004669
CAGL0E01639g		CAL0128796	YOL129W	VPS68	S000005489
CAGL0J00583g		CAL0133670	YHR028C	DAP2	S000001070
CAGL0E04620g	PST1	CAL0128816	YDR055W	PST1	S000002462
CAGL0A03949g		CAL0126651	YLR201C	COQ9	S000004191
CAGL0F04235g		CAL0131164	YBL031W	SHE1	S000000127
CAGL0E00517g		CAL0128900	YCR087C-A	YCR087C-A	S000007223
CAGL0G09064g		CAL0130049	YPL201C	YIG1	S000006122
CAGL0A04411g	SKT5	CAL0126659	YBL061C	SKT5	S000000157
CAGL0L03454g		CAL0135820	YJL092W	SRS2	S000003628
CAGL0E02739g		CAL0128610	YOR007C	SGT2	S000005533
CAGL0K12760g		CAL0134365	YFL042C	YFL042C	S000001852
CAGL0J05566g		CAL0133668	YNL085W	MKT1	S000005029
CAGL0D06578g		CAL0128057	YLL018C-A	COX19	S000007245
CAGL0I07381g		CAL0130113	YOL107W	YOL107W	S000005467
CAGL0H05709g		CAL0131474	YPL093W	NOG1	S000006014
CAGL0I07051g		CAL0132304	YGL215W	CLG1	S000003183
CAGL0F07909g		CAL0131074	YBR150C	TBS1	S000000354
CAGL0M13255g		CAL0137273	YKL065C	YET1	S000001548
CAGL0L13046g		CAL0136174	YHR122W	CIA2	S000001164
CAGL0C03850g		CAL0127624	YIL010W	DOT5	S000001272
CAGL0E05038g		CAL0128574	YGL150C	INO80	S000003118
CAGL0F01221g		CAL0130884	YOL026C	MIM1	S000005386
CAGL0D01958g		CAL0128155	YKL141W	SDH3	S000001624
CAGL0B02343g		CAL0127064	YML116W	ATR1	S000004584
CAGL0K02739g		CAL0134289	YHL003C	LAG1	S000000995
CAGL0I06402g		CAL0132222	YPR173C	VPS4	S000006377
CAGL0G04499g		CAL0130085	YJL105W	SET4	S000003641
CAGL0A02486g		CAL0126889	YDR351W	SBE2	S000002759
CAGL0G08085g		CAL0130795	YDR093W	DNF2	S000002500
CAGL0C02277g	GLN3	CAL0127336	YER040W	GLN3	S000000842
CAGL0K12144g	FES1	CAL0134753	YBR101C	FES1	S000000305
CAGL0M09614g		CAL0137381	YMR157C	AIM36	S000004766
CAGL0F03795g		CAL0131124	YMR211W	DML1	S000004824
CAGL0G00330g		CAL0129417	YGR278W	CWC22	S000003510
CAGL0B01573g	MTQ2	CAL0127116	YDR140W	MTQ2	S000002547
CAGL0D00220g		CAL0128389	YAL059W	ECM1	S000000055
CAGL0J04312g		CAL0133276	YBL017C	PEP1	S000000113
CAGL0C01749g		CAL0127512	YBR242W	YBR242W	S000000446
CAGL0L04268g		CAL0135600	YOR155C	ISN1	S000005681
CAGL0M06435g		CAL0137143	YBR186W	PCH2	S000000390
CAGL0E03564g		CAL0129040	YLR314C	CDC3	S000004306
CAGL0I02398g		CAL0132434	YHR170W	NMD3	S000001213
CAGL0E05434g		CAL0128864	YOR337W	TEA1	S000005864
CAGL0M01408g		CAL0136493	YDR325W	YCG1	S000002733
CAGL0K09856g		CAL0133765	YNL092W	YNL092W	S000005036
CAGL0K08822g		CAL0134473	YMR010W	YMR010W	S000004612
CAGL0I04642g		CAL0132310	YBR041W	FAT1	S000000245
CAGL0J00341g		CAL0132892	YHR047C	AAP1	S000001089
CAGL0L11528g	BIG1	CAL0135806	YHR101C	BIG1	S000001143
CAGL0C03179g		CAL0127430	YLR268W	SEC22	S000004258
CAGL0K05577g		CAL0134953	YOR079C	ATX2	S000005605
CAGL0F05181g		CAL0129909	YDR484W	VPS52	S000002892
CAGL0J03245g		CAL0129873	YER074W-A	YOS1	S000007651
CAGL0J08206g		CAL0132946	YNL271C	BNI1	S000005215
CAGL0B00330g		CAL0126982	YCL061C	MRC1	S000000566
CAGL0J00363g		CAL0133084	YHR048W	YHK8	S000001090
CAGL0F05445g		CAL0129258	YDR202C	RAV2	S000002610
CAGL0D01034g	VIG9	CAL0128031	YDL055C	PSA1	S000002213
CAGL0K08624g	HAP4	CAL0134441	YKL109W	HAP4	S000001592
CAGL0G05247g		CAL0137673	YDR069C	DOA4	S000002476
CAGL0G00220g		CAL0129730	YGR282C	BGL2	S000003514
CAGL0J04532g		CAL0133624	YLR419W	YLR419W	S000004411
CAGL0K11550g		CAL0134381	YKL116C	PRR1	S000001599
CAGL0G03047g		CAL0130705	YGR092W	DBF2	S000003324
CAGL0E02893g		CAL0128922	YBL014C	RRN6	S000000110
CAGL0C02937g		CAL0127484	YOR269W	PAC1	S000005795
CAGL0F04719g		CAL0129671	YLR258W	GSY2	S000004248
CAGL0I04818g		CAL0132482	YBR038W	CHS2	S000000242
CAGL0L11462g		CAL0135686	YML073C	RPL6A	S000004538
CAGL0C04785g		CAL0127540	YJR115W	YJR115W	S000003876
CAGL0D04026g		CAL0128023	YGR019W	UGA1	S000003251
CAGL0I01936g		CAL0132130	YHR153C	SPO16	S000001196
CAGL0G08844g		CAL0137709	YIL130W	ASG1	S000001392
CAGL0M08646g		CAL0136897	YDR267C	CIA1	S000002675
CAGL0I10604g		CAL0132338	YGR126W	YGR126W	S000003358
CAGL0K09746g		CAL0134963	YNL136W	EAF7	S000005080
CAGL0J07722g		CAL0132872	YNL246W	VPS75	S000005190
CAGL0I10901g		CAL0132700	YOR195W	SLK19	S000005721
CAGL0K08492g		CAL0134827	YKL100C	YPF1	S000001583
CAGL0J11110g		CAL0133412	YJR003C	YJR003C	S000003763
CAGL0J11066g		CAL0133540	YLR002C	NOC3	S000003992
CAGL0M08668g		CAL0136619	YDR266C	HEL2	S000002674
CAGL0K09460g		CAL0134609	YOR145C	PNO1	S000005671
CAGL0M08932g		CAL0136321	YDR476C	YDR476C	S000002884
CAGL0M01628g	SAC7	CAL0136253	YDR389W	SAC7	S000002797
CAGL0J08008g		CAL0133620	YNL261W	ORC5	S000005205
CAGL0M00924g		CAL0137083	YLR436C	ECM30	S000004428
CAGL0A04279g		CAL0126927	YBL055C	YBL055C	S000000151
CAGL0A02816g		CAL0126911	YDR368W	YPR1	S000002776
CAGL0I01650g		CAL0130053	YJR039W	YJR039W	S000003800
CAGL0I03476g		CAL0129533	YDL160C	DHH1	S000002319
CAGL0C02607g		CAL0127546	YLR396C	VPS33	S000004388
CAGL0B00968g		CAL0127016	YCL027W	FUS1	S000000532
CAGL0F06721g		CAL0130848	YIR022W	SEC11	S000001461
CAGL0F01705g	FRS1	CAL0129751	YLR060W	FRS1	S000004050
CAGL0H03311g		CAL0130332	YGL081W	YGL081W	S000003049
CAGL0L04620g		CAL0135512	YOR174W	MED4	S000005700
CAGL0J06622g		CAL0133144	YML107C	PML39	S000004575
CAGL0M04323g	ACE2	CAL0136273	YLR131C	ACE2	S000004121
CAGL0M01188g		CAL0137511	YDR334W	SWR1	S000002742
CAGL0G02453g		CAL0129352	YKR093W	PTR2	S000001801
CAGL0J02970g		CAL0133506	YER061C	CEM1	S000000863
CAGL0K00671g		CAL0134445	YJL191W	RPS14B	S000003727
CAGL0K09306g		CAL0134853	YCR054C	CTR86	S000000650
CAGL0G07040g		CAL0137533	YML019W	OST6	S000004481
CAGL0F00693g	PRO2	CAL0131336	YOR323C	PRO2	S000005850
CAGL0M10235g		CAL0137137	YKL006C-A	SFT1	S000002101
CAGL0G01540g	NCE103	CAL0130741	YNL036W	NCE103	S000004981
CAGL0L13156g		CAL0135822	YLR073C	RFU1	S000004063
CAGL0C02145g		CAL0127232	YFR040W	SAP155	S000001936
CAGL0I09394g		CAL0132420	YBR269C	SDH8	S000000473
CAGL0H02101g		CAL0131668	YHR087W	RTC3	S000001129
CAGL0J11418g		CAL0133036	YNL188W	KAR1	S000005132
CAGL0B02299g		CAL0127928	YML114C	TAF8	S000004582
CAGL0D02222g		CAL0128093	YOR350C	MNE1	S000005877
CAGL0B04147g		CAL0127046	YPR111W	DBF20	S000006315
CAGL0K00451g		CAL0134145	YKL206C	ADD66	S000001689
CAGL0H08041g		CAL0131910	YNL206C	RTT106	S000005150
CAGL0I04906g		CAL0132688	YER094C	PUP3	S000000896
CAGL0G09867g		CAL0137659	YPR179C	HDA3	S000006383
CAGL0I02134g	PEX21B	CAL0132104	YHR160C	PEX18	S000001203
CAGL0J07788g	RAD50	CAL0133732	YNL250W	RAD50	S000005194
CAGL0E06072g		CAL0128670	YMR181C	YMR181C	S000004793
CAGL0M06897g		CAL0137099	YNL024C	YNL024C	S000004969
CAGL0I07777g		CAL0132084	YOL088C	MPD2	S000005448
CAGL0B03993g		CAL0127802	YJR016C	ILV3	S000003777
CAGL0A01694g		CAL0126701	YGL036W	YGL036W	S000003004
CAGL0M11682g		CAL0137105	YLR108C	YLR108C	S000004098
CAGL0J01287g	AIP1	CAL0133576	YMR092C	AIP1	S000004698
CAGL0E03003g		CAL0128892	YGR147C	NAT2	S000003379
CAGL0F06347g	STV1	CAL0129296	YMR054W	STV1	S000004658
CAGL0M05445g		CAL0136983	YBR203W	COS111	S000000407
CAGL0K08580g		CAL0134469	YKL106W	AAT1	S000001589
CAGL0M02497g		CAL0137465	YPL143W	RPL33A	S000006064
CAGL0C01177g		CAL0127574	YLR226W	BUR2	S000004216
CAGL0D01386g	MED1	CAL0128307	YPR070W	MED1	S000006274
CAGL0C00759g		CAL0127602	YLR223C	IFH1	S000004213
CAGL0L10318g		CAL0135238	YOR059C	LPL1	S000005585
CAGL0H10494g		CAL0131604	YDL116W	NUP84	S000002274
CAGL0F06479g		CAL0129762	YMR061W	RNA14	S000004665
CAGL0D02970g		CAL0128531	YLR016C	PML1	S000004006
CAGL0B03201g		CAL0127804	YKR011C	YKR011C	S000001719
CAGL0B01837g		CAL0127710	YDR117C	TMA64	S000002524
CAGL0I09009g		CAL0132250	YFR025C	HIS2	S000001921
CAGL0M07447g		CAL0137037	YMR027W	YMR027W	S000004629
CAGL0L09779g		CAL0135560	YKL018C-A	YKL018C-A	S000007615
CAGL0C02761g		CAL0127542	YAL007C	ERP2	S000000005
CAGL0E00429g		CAL0128732	YCR094W	CDC50	S000000690
CAGL0M02585g		CAL0136723	YPL138C	SPP1	S000006059
CAGL0G07953g		CAL0137719	YNR037C	RSM19	S000005320
CAGL0M13739g	ATM1	CAL0136911	YMR301C	ATM1	S000004916
CAGL0H05181g		CAL0131462	YPL065W	VPS28	S000005986
CAGL0E04400g		CAL0128870	YHR011W	DIA4	S000001053
CAGL0I02706g		CAL0130328	YMR286W	MRPL33	S000004899
CAGL0L05610g		CAL0136116	YJL127C	SPT10	S000003663
CAGL0E01463g	CDC33	CAL0128640	YOL139C	CDC33	S000005499
CAGL0G01947g		CAL0130709	YKR071C	DRE2	S000001779
CAGL0G05808g		CAL0130478	YDL211C	YDL211C	S000002370
CAGL0J07964g		CAL0133424	YNL258C	DSL1	S000005202
CAGL0L04136g		CAL0135402	YNL126W	SPC98	S000005070
CAGL0L09933g		CAL0135612	YOR042W	CUE5	S000005568
CAGL0M05951g		CAL0137471	YKR049C	FMP46	S000001757
CAGL0G07227g		CAL0129192	YML026C	RPS18B	S000004488
CAGL0L01969g		CAL0135874	YKL033W-A	YKL033W-A	S000007242
CAGL0F05907g		CAL0131284	YMR033W	ARP9	S000004636
CAGL0H07073g		CAL0129896	YDR320C-A	DAD4	S000007604
CAGL0B03421g		CAL0127688	YLR256W	HAP1	S000004246
CAGL0I04532g	MNN2	CAL0130340	YBR015C	MNN2	S000000219
CAGL0F06831g		CAL0129889	YIR033W	MGA2	S000001472
CAGL0M03289g		CAL0136813	YEL018W	EAF5	S000000744
CAGL0I07139g		CAL0132316	YOR142W	LSC1	S000005668
CAGL0D00814g		CAL0128029	YDL064W	UBC9	S000002222
CAGL0K06347g		CAL0133845	YDR459C	PFA5	S000002867
CAGL0I07513g		CAL0132238	YOL100W	PKH2	S000005460
CAGL0G07931g		CAL0129329	YNR036C	MRPS12	S000005319
CAGL0J00539g	SLT2	CAL0133196	YHR030C	SLT2	S000001072
CAGL0C04697g		CAL0127180	YJR101W	RSM26	S000003862
CAGL0I03322g		CAL0130181	YEL030W	ECM10	S000000756
CAGL0L08052g		CAL0135726	YCR028C	FEN2	S000000623
CAGL0J06512g		CAL0133404	YML102W	CAC2	S000004570
CAGL0G04741g		CAL0137641	YNL104C	LEU4	S000005048
CAGL0L00737g		CAL0135678	YIL047C	SYG1	S000001309
CAGL0M04037g		CAL0136541	YNL315C	ATP11	S000005259
CAGL0D00484g		CAL0128001	YKL184W	SPE1	S000001667
CAGL0G06776g		CAL0129488	YCR003W	MRPL32	S000000596
CAGL0M05599g		CAL0136649	YBR162C	TOS1	S000000366
CAGL0L02035g		CAL0135074	YKL029C	MAE1	S000001512
CAGL0H10076g		CAL0131608	YBR054W	YRO2	S000000258
CAGL0B01617g		CAL0126984	YDR138W	HPR1	S000002545
CAGL0K07766g		CAL0134189	YBR114W	RAD16	S000000318
CAGL0D00616g		CAL0128133	YDL075W	RPL31A	S000002233
CAGL0A02024g		CAL0126899	YOL025W	LAG2	S000005385
CAGL0L04158g		CAL0135232	YNL127W	FAR11	S000005071
CAGL0L03872g		CAL0135526	YNL113W	RPC19	S000005057
CAGL0C01639g		CAL0127644	YBR247C	ENP1	S000000451
CAGL0G05698g	GDH2	CAL0130568	YDL215C	GDH2	S000002374
CAGL0E04796g		CAL0128644	YDR221W	GTB1	S000002629
CAGL0E03179g		CAL0128614	YGR156W	PTI1	S000003388
CAGL0H00704g		CAL0130567	YPL250C	ICY2	S000006171
CAGL0J09284g		CAL0133212	YDL129W	YDL129W	S000002287
CAGL0J06292g		CAL0132832	YDL177C	YDL177C	S000002336
CAGL0J07980g		CAL0132760	YNL259C	ATX1	S000005203
CAGL0I08349g		CAL0132354	YPR161C	SGV1	S000006365
CAGL0B02145g		CAL0127896	YGR221C	TOS2	S000003453
CAGL0I07447g		CAL0132578	YOL103W	ITR2	S000005463
CAGL0F08437g		CAL0131166	YGR263C	SAY1	S000003495
CAGL0J04598g		CAL0133520	YLR420W	URA4	S000004412
CAGL0H05599g		CAL0129926	YPL087W	YDC1	S000006008
CAGL0H08437g	VPS15	CAL0131728	YBR097W	VPS15	S000000301
CAGL0F07711g		CAL0130996	YMR166C	YMR166C	S000004776
CAGL0E04884g		CAL0129036	YDR216W	ADR1	S000002624
CAGL0J02882g	HOM3	CAL0133610	YER052C	HOM3	S000000854
CAGL0G03179g	ASK10	CAL0129510	YGR097W	ASK10	S000003329
CAGL0E01441g		CAL0128602	YDR143C	SAN1	S000002550
CAGL0M04147g		CAL0136715	YNL321W	VNX1	S000005265
CAGL0L01463g		CAL0135670	YML047C	PRM6	S000004510
CAGL0B03795g		CAL0127098	YJR007W	SUI2	S000003767
CAGL0M06941g		CAL0137081	YNL022C	RCM1	S000004967
CAGL0D03740g		CAL0128221	YHR062C	RPP1	S000001104
CAGL0B03311g		CAL0127844	YBR280C	SAF1	S000000484
CAGL0J10076g		CAL0133738	YNL058C	YNL058C	S000005003
CAGL0G01298g		CAL0137543	YNL051W	COG5	S000004996
CAGL0G04807g		CAL0129336	YOR106W	VAM3	S000005632
CAGL0L10648g		CAL0135974	YMR199W	CLN1	S000004812
CAGL0H09372g		CAL0131502	YGR185C	TYS1	S000003417
CAGL0K01221g	PEX8	CAL0134211	YGR077C	PEX8	S000003309
CAGL0L01353g		CAL0135626	YEL034W	HYP2	S000000760
CAGL0D05698g		CAL0128273	YLL006W	MMM1	S000003929
CAGL0L04092g		CAL0135960	YNL123W	NMA111	S000005067
CAGL0K06897g		CAL0134299	YBR225W	YBR225W	S000000429
CAGL0F07007g		CAL0131180	YGL059W	PKP2	S000003027
CAGL0K10010g		CAL0134415	YDR083W	RRP8	S000002490
CAGL0H07315g		CAL0131758	YDR313C	PIB1	S000002721
CAGL0H06721g		CAL0131716	YIL156W	UBP7	S000001418
CAGL0M05929g		CAL0136843	YKR065C	PAM17	S000001773
CAGL0H02717g		CAL0131838	YLR165C	PUS5	S000004155
CAGL0A03542g	COX12	CAL0126937	YLR038C	COX12	S000004028
CAGL0F08085g		CAL0129384	YGR243W	MPC3	S000003475
CAGL0G07403g		CAL0129239	YML034W	SRC1	S000004497
CAGL0I04400g		CAL0132676	YJL140W	RPB4	S000003676
CAGL0F08547g	EFB1	CAL0129370	YAL003W	EFB1	S000000003
CAGL0L04466g		CAL0135064	YOR165W	SEY1	S000005691
CAGL0G00528g		CAL0129578	YGR270W	YTA7	S000003502
CAGL0M12012g		CAL0136651	YAL039C	CYC3	S000000037
CAGL0H06611g		CAL0131924	YIL151C	ESL1	S000001413
CAGL0L03355g		CAL0135880	YKR045C	YKR045C	S000001753
CAGL0M13277g		CAL0136513	YKL067W	YNK1	S000001550
CAGL0D04994g	KAR3	CAL0128117	YPR141C	KAR3	S000006345
CAGL0L09691g		CAL0135272	YKL015W	PUT3	S000001498
CAGL0C00649g	VMA2	CAL0127552	YBR127C	VMA2	S000000331
CAGL0M02101g		CAL0136269	YPL159C	PET20	S000006080
CAGL0H01859g		CAL0131630	YJR058C	APS2	S000003819
CAGL0A02728g		CAL0126875	YDR363W-A	SEM1	S000007235
CAGL0H03069g		CAL0129636	YGL092W	NUP145	S000003060
CAGL0I06182g	PIR2	CAL0132292	YJL159W	HSP150	S000003695
CAGL0I07359g	INO4	CAL0132400	YOL108C	INO4	S000005468
CAGL0L10362g		CAL0135704	YOR062C	YOR062C	S000005588
CAGL0K07293g		CAL0134751	YMR246W	FAA4	S000004860
CAGL0L07986g		CAL0135724	YCR026C	NPP1	S000000621
CAGL0A02508g		CAL0126881	YDR352W	YPQ2	S000002760
CAGL0E02475g	SIN3	CAL0129134	YOL004W	SIN3	S000005364
CAGL0L10021g		CAL0135432	YOR046C	DBP5	S000005572
CAGL0M00682g		CAL0136669	YLR446W	YLR446W	S000004438
CAGL0L05478g		CAL0136144	YJL121C	RPE1	S000003657
CAGL0J09746g		CAL0132768	YDL201W	TRM8	S000002360
CAGL0E01991g		CAL0128652	YOL121C	RPS19A	S000005481
CAGL0M04675g		CAL0136673	YOR285W	RDL1	S000005811
CAGL0L09625g		CAL0135166	YIR011C	STS1	S000001450
CAGL0K09130g		CAL0133863	YOR247W	SRL1	S000005773
CAGL0F07029g	MET13	CAL0131340	YGL125W	MET13	S000003093
CAGL0G09955g		CAL0137723	YPR183W	DPM1	S000006387
CAGL0K09350g		CAL0134941	YGL208W	SIP2	S000003176
CAGL0D01518g		CAL0128323	YPR066W	UBA3	S000006270
CAGL0H09460g		CAL0130042	YER015W	FAA2	S000000817
CAGL0A03300g		CAL0126607	YGL192W	IME4	S000003160
CAGL0C01353g		CAL0127234	YIL109C	SEC24	S000001371
CAGL0H03025g		CAL0132004	YGL094C	PAN2	S000003062
CAGL0E02123g		CAL0128992	YOL114C	YOL114C	S000005474
CAGL0M02387g		CAL0136605	YPL147W	PXA1	S000006068
CAGL0K07007g		CAL0134107	YBR238C	YBR238C	S000000442
CAGL0I02200g	SOL3	CAL0132380	YHR163W	SOL3	S000001206
CAGL0E01705g		CAL0128560	YOL126C	MDH2	S000005486
CAGL0M09757g		CAL0136317	YLR287C	YLR287C	S000004277
CAGL0H01639g		CAL0131626	YDR523C	SPS1	S000002931
CAGL0F00583g		CAL0131014	YDR517W	GRH1	S000002925
CAGL0M03305g		CAL0136875	YEL017C-A	PMP2	S000002103
CAGL0J04136g		CAL0132800	YOR221C	MCT1	S000005747
CAGL0G04521g		CAL0130657	YJL104W	PAM16	S000003640
CAGL0D06622g		CAL0128431	YLL021W	SPA2	S000003944
CAGL0E05940g		CAL0128590	YPL221W	FLC1	S000006142
CAGL0C02431g		CAL0127262	YER032W	FIR1	S000000834
CAGL0K07480g	PGM1	CAL0133835	YKL127W	PGM1	S000001610
CAGL0L07106g		CAL0135034	YDL090C	RAM1	S000002248
CAGL0K09042g		CAL0134267	YOR252W	TMA16	S000005778
CAGL0L01573g		CAL0135340	YML053C	YML053C	S000004517
CAGL0M10703g		CAL0137173	YNR026C	SEC12	S000005309
CAGL0F07293g		CAL0131360	YGL114W	YGL114W	S000003082
CAGL0G07579g		CAL0129423	YOR296W	YOR296W	S000005822
CAGL0I07469g		CAL0132106	YOL102C	TPT1	S000005462
CAGL0D03146g		CAL0128103	YJL004C	SYS1	S000003541
CAGL0D02112g		CAL0128069	YKL134C	OCT1	S000001617
CAGL0L04070g		CAL0135862	YNL122C	YNL122C	S000005066
CAGL0K03377g		CAL0133829	YMR102C	YMR102C	S000004708
CAGL0M08404g		CAL0137001	YKL166C	TPK3	S000001649
CAGL0M00946g		CAL0136663	YLR435W	TSR2	S000004427
CAGL0H03641g		CAL0131954	YNL010W	YNL010W	S000004955
CAGL0E03267g		CAL0128764	YGR161C	RTS3	S000003393
CAGL0K03399g	YPK2	CAL0134573	YMR104C	YPK2	S000004710
CAGL0C01325g		CAL0127410	YIL111W	COX5B	S000001373
CAGL0I07667g		CAL0132340	YOL093W	TRM10	S000005453
CAGL0L13090g	NDT80	CAL0136074	YHR124W	NDT80	S000001166
CAGL0B01265g	MATalpha2	CAL0127104	YCR039C	MATALPHA2	S000000635
CAGL0H03377g	DBP3	CAL0131546	YGL078C	DBP3	S000003046
CAGL0D01606g		CAL0128313	YPR058W	YMC1	S000006262
CAGL0I06490g		CAL0132614	YPR169W	JIP5	S000006373
CAGL0H06963g		CAL0129996	YML096W	YML096W	S000004562
CAGL0M03047g		CAL0137039	YMR281W	GPI12	S000004894
CAGL0M06193g		CAL0137213	YBR175W	SWD3	S000000379
CAGL0L11286g		CAL0135418	YML066C	SMA2	S000004531
CAGL0B03333g		CAL0127042	YBR279W	PAF1	S000000483
CAGL0J02134g		CAL0133186	YIL002C	INP51	S000001264
CAGL0K07029g		CAL0134379	YBR237W	PRP5	S000000441
CAGL0J11682g		CAL0133472	YMR002W	MIX17	S000004604
CAGL0B00264g	MTLalpha2	CAL0127028	YCL067C	HMLALPHA2	S000000572
CAGL0G01078g		CAL0129443	YLR344W	RPL26A	S000004336
CAGL0K05115g		CAL0134411	YPR025C	CCL1	S000006229
CAGL0K11770g		CAL0134339	YDR026C	NSI1	S000002433
CAGL0B00990g	HBN1	CAL0126996	YCL026C-A	FRM2	S000000589
CAGL0M07898g		CAL0136751	YLR045C	STU2	S000004035
CAGL0K04235g		CAL0134493	YGR043C	NQM1	S000003275
CAGL0E06116g		CAL0129100	YMR182C	RGM1	S000004794
CAGL0G03487g		CAL0130282	YER113C	TMN3	S000000915
CAGL0M07612g		CAL0137497	YMR020W	FMS1	S000004622
CAGL0I09988g		CAL0132668	YOL054W	PSH1	S000005415
CAGL0G05269g		CAL0130773	YDR070C	FMP16	S000002477
CAGL0K07315g		CAL0134353	YMR244C-A	COA6	S000004857
CAGL0K07656g	FRS2	CAL0133857	YFL022C	FRS2	S000001872
CAGL0M03905g		CAL0136923	YNL308C	KRI1	S000005252
CAGL0M07403g	OAZ1	CAL0136773	YPL052W	OAZ1	S000005973
CAGL0D01342g		CAL0128071	YPR072W	NOT5	S000006276
CAGL0I05126g		CAL0132252	YER086W	ILV1	S000000888
CAGL0A01199g	DIP5	CAL0126839	YPL265W	DIP5	S000006186
CAGL0F05533g		CAL0131222	YDR197W	CBS2	S000002605
CAGL0M04389g		CAL0137205	YLR135W	SLX4	S000004125
CAGL0D02002g		CAL0127983	YKL139W	CTK1	S000001622
CAGL0A03234g	EFT2	CAL0126687	YDR385W	EFT2	S000002793
CAGL0M07634g		CAL0137219	YMR016C	SOK2	S000004618
CAGL0F02519g		CAL0129621	YJL206C	YJL206C	S000003741
CAGL0K06809g		CAL0134937	YBR220C	YBR220C	S000000424
CAGL0F07403g		CAL0131194	YGL111W	NSA1	S000003079
CAGL0M01518g	SHE9	CAL0136279	YDR393W	SHE9	S000002801
CAGL0H05929g		CAL0130506	YPL105C	SYH1	S000006026
CAGL0F04741g		CAL0129333	YOL016C	CMK2	S000005376
CAGL0M03531g		CAL0136665	YNL287W	SEC21	S000005231
CAGL0L05874g		CAL0135134	YGL173C	XRN1	S000003141
CAGL0J05016g	TIM54	CAL0133350	YJL054W	TIM54	S000003590
CAGL0I10813g		CAL0132662	YBR165W	UBS1	S000000369
CAGL0A02629g		CAL0126689	YDR358W	GGA1	S000002766
CAGL0D01650g		CAL0128459	YPR056W	TFB4	S000006260
CAGL0K11110g		CAL0133915	YDR239C	YDR239C	S000002647
CAGL0E03245g		CAL0129126	YGR159C	NSR1	S000003391
CAGL0M13827g	FKS3	CAL0137469	YMR306W	FKS3	S000004923
CAGL0G08041g		CAL0129825	YDR091C	RLI1	S000002498
CAGL0J02128g		CAL0132960	YIL002W-A	YIL002W-A	S000028835
CAGL0D03212g		CAL0127975	YLR018C	POM34	S000004008
CAGL0J06754g		CAL0133352	YML112W	CTK3	S000004580
CAGL0J01111g		CAL0133148	YJL029C	VPS53	S000003566
CAGL0A02002g		CAL0126683	YOL024W	YOL024W	S000005384
CAGL0M05027g		CAL0136589	YMR237W	BCH1	S000004850
CAGL0K02035g		CAL0134191	YER134C	YER134C	S000000936
CAGL0A03696g	GAL83	CAL0126957	YER027C	GAL83	S000000829
CAGL0K01243g		CAL0134315	YGR076C	MRPL25	S000003308
CAGL0J03520g		CAL0133008	YCR069W	CPR4	S000000665
CAGL0H02695g		CAL0129886	YKR058W	GLG1	S000001766
CAGL0K10120g		CAL0134557	YDR079W	PET100	S000002486
CAGL0G04895g		CAL0137761	YLR370C	ARC18	S000004362
CAGL0H01617g		CAL0132010	YDR524C	AGE1	S000002932
CAGL0H03575g		CAL0130084	YNL012W	SPO1	S000004957
