C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C30	C31	C32	C33	C34	C35	C36	C37	C38
CAGL0E01155g		Ortholog(s) have RNA polymerase I activity, role in nucleolar large rRNA transcription by RNA polymerase I, transcription by RNA polymerase I and RNA polymerase I complex localization	-6.51e-01	2.72e-02	-5.37e-01	1.34e-02	-3.58e-01	4.85e-02	-1.44e+00	1.47e-03	-8.18e-01	-7.79e-01	-1.05e+00	-2.63e+00	0	0	0	-1	METABOLISM	NUCLEIC ACID METABOLISM	F1	CAGL0E01155g	OFF	0	0	0	DOWN	CAGL0E01155g	YDR156W	S000002563	YDR156W	RPA14	RNA polymerase I subunit A14	-1.32e+00	3.00e-01	4.44e-02	8.89e-01
CAGL0E01243g	CTH2	Protein involved in cellular iron homeostasis; induced by Aft1p to reduce expression of iron-associated genes under iron starvation	1.73e+00	8.83e-06	1.97e+00	1.65e-05	-1.81e-01	2.70e-01	2.04e-01	3.43e-01	1.97e+00	2.51e+00	-6.15e-01	2.49e-01	0	1	0	0	REGULATION	RNA BINDING	F2	CAGL0E01243g	OFF	UP	UP	0	0	CAGL0E01243g	YDR151C	S000002558	YDR151C	CTH1	Member of the CCCH zinc finger family; similar to mammalian Tis11 protein, which activates transcription and also has a role in mRNA degradation; may function with Tis11p in iron homeostasis; CTH1 has a paralog, TIS11, that arose from the whole genome duplication	 NA	 NA	 NA	 NA
CAGL0E01287g		Ortholog(s) have role in 2-oxoglutarate metabolic process, mitochondrial genome maintenance and mitochondrial nucleoid, mitochondrial oxoglutarate dehydrogenase complex localization	-9.58e-01	4.25e-04	-1.14e+00	5.92e-04	6.27e-01	1.11e-03	1.25e+00	4.03e-04	-1.18e+00	-1.58e+00	1.38e+00	2.07e+00	0	0	0	1	IRON-SULFUR CLUSTER SYNTHESIS AND ASSEMBLY	_	F5	CAGL0E01287g	Type I	0	DOWN	0	UP	CAGL0E01287g	YDR148C	S000002555	YDR148C	KGD2	Dihydrolipoyl transsuccinylase; component of the mitochondrial alpha-ketoglutarate dehydrogenase complex, which catalyzes the oxidative decarboxylation of alpha-ketoglutarate to succinyl-CoA in the TCA cycle; phosphorylated	-5.03e-01	2.13e-01	-2.73e-01	9.54e-02
CAGL0E01705g		Ortholog(s) have L-malate dehydrogenase activity, role in gluconeogenesis, protein import into peroxisome matrix and cytosol, nuclear periphery localization	1.23e+00	1.56e-04	3.97e-01	7.22e-02	1.28e+00	8.83e-05	2.13e+00	5.95e-06	1.38e+00	4.48e-01	2.98e+00	3.62e+00	0	0	1	1	REDOX SIGNALING	METABOLISM	F3	CAGL0E01705g	OFF	0	0	UP	UP	CAGL0E01705g	YOL126C	S000005486	YOL126C	MDH2	Cytoplasmic malate dehydrogenase; one of three isozymes that catalyze interconversion of malate and oxaloacetate; involved in the glyoxylate cycle and gluconeogenesis during growth on two-carbon compounds; interacts with Pck1p and Fbp1	1.03e-01	8.20e-01	5.81e-01	4.25e-03
CAGL0E01727g	YPS3	Putative aspartic protease; predicted GPI-anchor; member of a YPS gene cluster that is required for virulence in mice	1.29e+00	9.63e-03	3.37e+00	1.59e-06	-1.61e+00	2.45e-05	4.28e+00	6.65e-07	1.46e+00	4.36e+00	-4.16e+00	7.39e+00	0	1	-1	1	METABOLISM	MEMBRANE AND CELL WALL BIOGENESIS	F1	CAGL0E01727g	SWITCH	0	UP	DOWN	UP	CAGL0E01727g	YLR120C	S000004110	YLR120C	YPS1	Aspartic protease; hyperglycosylated member of the yapsin family of proteases, attached to the plasma membrane via a glycosylphosphatidylinositol (GPI) anchor; involved in nutrient limitation-induced cleavage of the extracellular inhibitory domain of signaling mucin Msb2p, resulting in activation of the filamentous growth MAPK pathway; involved with other yapsins in the cell wall integrity response; role in KEX2-independent processing of the alpha factor precursor	 NA	 NA	 NA	 NA
CAGL0E01771g	YPS5	Putative aspartic protease; predicted GPI-anchor; member of a YPS gene cluster that is required for virulence in mice; gene is downregulated in azole-resistant strain	-1.71e+00	6.29e-05	-1.46e+00	1.82e-04	1.16e-01	3.63e-01	1.74e-01	4.94e-01	-2.06e+00	-1.99e+00	1.19e-01	1.96e-01	-1	0	0	0	METABOLISM	MEMBRANE AND CELL WALL BIOGENESIS	F1	CAGL0E01771g	OFF	DOWN	DOWN	0	0	CAGL0E01771g	YLR120C	S000004110	YLR120C	YPS1	Aspartic protease; hyperglycosylated member of the yapsin family of proteases, attached to the plasma membrane via a glycosylphosphatidylinositol (GPI) anchor; involved in nutrient limitation-induced cleavage of the extracellular inhibitory domain of signaling mucin Msb2p, resulting in activation of the filamentous growth MAPK pathway; involved with other yapsins in the cell wall integrity response; role in KEX2-independent processing of the alpha factor precursor	 NA	 NA	 NA	 NA
CAGL0E01793g	YPS6	Putative aspartic protease; predicted GPI-anchor; member of a YPS gene cluster that is required for virulence in mice; expression induced at high temperature	2.90e+00	8.80e-07	2.52e+00	9.80e-07	5.38e-01	2.84e-03	1.76e+00	2.93e-05	3.33e+00	3.24e+00	1.16e+00	2.97e+00	1	1	0	1	METABOLISM	MEMBRANE AND CELL WALL BIOGENESIS	F1	CAGL0E01793g	Type II	UP	UP	0	UP	CAGL0E01793g	YLR120C	S000004110	YLR120C	YPS1	Aspartic protease; hyperglycosylated member of the yapsin family of proteases, attached to the plasma membrane via a glycosylphosphatidylinositol (GPI) anchor; involved in nutrient limitation-induced cleavage of the extracellular inhibitory domain of signaling mucin Msb2p, resulting in activation of the filamentous growth MAPK pathway; involved with other yapsins in the cell wall integrity response; role in KEX2-independent processing of the alpha factor precursor	1.08e+00	1.31e-01	-5.80e-01	8.00e-02
CAGL0E01815g	YPS8	Putative aspartic protease; predicted GPI-anchor; member of a YPS gene cluster that is required for virulence in mice; induced in response to low pH and high temperature	1.66e+00	3.98e-05	1.13e+00	4.06e-04	8.88e-01	4.83e-04	6.41e-01	1.02e-02	1.89e+00	1.41e+00	2.03e+00	1.01e+00	0	0	1	0	METABOLISM	MEMBRANE AND CELL WALL BIOGENESIS	F1	CAGL0E01815g	Type II	UP	0	UP	0	CAGL0E01815g	YDR144C	S000002551	YDR144C	MKC7	GPI-anchored aspartyl protease; member of the yapsin family of proteases involved in cell wall growth and maintenance; shares functions with Yap3p and Kex2p; MKC7 has a paralog, YPS1, that arose from the whole genome duplication	 NA	 NA	 NA	 NA
CAGL0E01837g	YPS9	Putative aspartic protease; predicted GPI-anchor; member of a YPS gene cluster that is required for virulence in mice; expression induced at high temperature	7.93e-01	2.80e-02	-3.28e-01	2.02e-01	1.58e+00	6.28e-05	1.94e+00	6.18e-05	8.69e-01	-5.04e-01	3.73e+00	3.28e+00	0	0	1	1	METABOLISM	MEMBRANE AND CELL WALL BIOGENESIS	F1	CAGL0E01837g	OFF	0	0	UP	UP	CAGL0E01837g	YDR144C	S000002551	YDR144C	MKC7	GPI-anchored aspartyl protease; member of the yapsin family of proteases involved in cell wall growth and maintenance; shares functions with Yap3p and Kex2p; MKC7 has a paralog, YPS1, that arose from the whole genome duplication	 NA	 NA	 NA	 NA
CAGL0E01881g	YPS11	Putative aspartic protease; member of a YPS gene cluster that is required for virulence in mice; induced in response to low pH and high temperature	9.58e-01	1.06e-03	7.95e-01	1.56e-02	8.95e-01	4.98e-04	1.02e+00	4.11e-03	1.06e+00	9.71e-01	2.04e+00	1.68e+00	0	0	1	0	MEMBRANE / CELL WALL	_	Others	CAGL0E01881g	OFF	0	0	UP	UP	CAGL0E01881g	YLR120C	S000004110	YLR120C	YPS1	Aspartic protease; hyperglycosylated member of the yapsin family of proteases, attached to the plasma membrane via a glycosylphosphatidylinositol (GPI) anchor; involved in nutrient limitation-induced cleavage of the extracellular inhibitory domain of signaling mucin Msb2p, resulting in activation of the filamentous growth MAPK pathway; involved with other yapsins in the cell wall integrity response; role in KEX2-independent processing of the alpha factor precursor	 NA	 NA	 NA	 NA
CAGL0E01991g		Ortholog(s) have structural constituent of ribosome activity, role in rRNA export from nucleus, ribosomal small subunit biogenesis and cytosolic small ribosomal subunit localization	-1.59e+00	8.77e-04	-5.00e-01	1.39e-01	-7.91e-01	2.75e-03	-6.12e-01	1.28e-01	-1.92e+00	-7.31e-01	-2.12e+00	-1.18e+00	0	0	-1	0	REGULATION	TRANSLATION	F2	CAGL0E01991g	Type II	DOWN	0	DOWN	0	CAGL0E01991g	YOL121C	S000005481	YOL121C	RPS19A	Protein component of the small (40S) ribosomal subunit; required for assembly and maturation of pre-40 S particles; homologous to mammalian ribosomal protein S19, no bacterial homolog; mutations in human RPS19 are associated with Diamond Blackfan anemia; RPS19A has a paralog, RPS19B, that arose from the whole genome duplication	-3.12e-03	9.92e-01	-3.99e-02	7.73e-01
CAGL0E02013g		Ortholog(s) have cytosolic large ribosomal subunit localization	-1.74e+00	1.48e-04	-1.82e+00	1.00e-05	6.50e-02	6.23e-01	-1.19e+00	2.22e-03	-2.09e+00	-2.46e+00	-6.93e-03	-2.20e+00	-1	-1	0	-1	METABOLISM	RIBOSOMAL BIOGENESIS	F1	CAGL0E02013g	Type II	DOWN	DOWN	0	DOWN	CAGL0E02013g	YOL120C	S000005480	YOL120C	RPL18A	Ribosomal 60S subunit protein L18A; intron of RPL18A pre-mRNA forms stem-loop structures that are a target for Rnt1p cleavage leading to degradation; homologous to mammalian ribosomal protein L18, no bacterial homolog; RPL18A has a paralog, RPL18B, that arose from the whole genome duplication	2.19e-01	5.78e-01	-5.81e-01	2.14e-02
CAGL0E02255g		Ortholog(s) have role in fungal-type cell wall organization and extrinsic component of plasma membrane localization	-3.51e+00	2.11e-07	-3.50e+00	9.72e-07	-8.85e-01	7.99e-04	-1.67e+00	5.80e-05	-4.16e+00	-4.67e+00	-2.36e+00	-3.03e+00	-1	-1	-1	-1	MEMBRANE / CELL WALL	_	Others	CAGL0E02255g	Type II	DOWN	DOWN	DOWN	DOWN	CAGL0E02255g	YOL109W	S000005469	YOL109W	ZEO1	Peripheral membrane protein of the plasma membrane; interacts with Mid2p; regulates the cell integrity pathway mediated by Pkc1p and Slt2p; the authentic protein is detected in a phosphorylated state in highly purified mitochondria	2.05e+00	6.36e-03	7.51e-01	1.66e-02
CAGL0E02651g		Has domain(s) with predicted identical protein binding, serine-type endopeptidase activity and role in negative regulation of catalytic activity, proteolysis	1.84e+00	9.90e-05	1.08e+00	8.97e-04	5.51e-01	3.11e-02	9.77e-01	1.60e-03	2.09e+00	1.35e+00	1.19e+00	1.60e+00	1	0	0	0	METABOLISM	PROTEIN DEGRADATION	F1	CAGL0E02651g	Type II	UP	0	0	UP	CAGL0E02651g	YOR003W	S000005529	YOR003W	YSP3	Putative precursor of the subtilisin-like protease III; SWAT-GFP and mCherry fusion proteins localize to the endoplasmic reticulum; YSP3 has a paralog, PRB1, that arose from the whole genome duplication	 NA	 NA	 NA	 NA
CAGL0E03025g		Ortholog of S. cerevisiae : ECL1 and Saccharomyces cerevisiae S288C : YGR146C	1.17e+00	1.20e-04	2.08e+00	1.43e-05	-1.86e-01	1.08e-01	-3.61e-01	1.58e-01	1.31e+00	2.66e+00	-6.27e-01	-7.40e-01	0	1	0	0	UNCLASSIFIED	_	Others	CAGL0E03025g	OFF	0	UP	0	0	CAGL0E03025g	YGR146C	S000003378	YGR146C	ECL1	Protein of unknown function; mitochondrial-dependent role in the extension of chronological lifespan; overexpression increases oxygen consumption and respiratory activity while deletion results in reduced oxygen consumption under conditions of caloric restriction; induced by iron homeostasis transcription factor Aft2p; multicopy suppressor of temperature sensitive hsf1 mutant; induced by treatment with 8-methoxypsoralen and UVA irradiation	 NA	 NA	 NA	 NA
CAGL0E03289g		Ortholog(s) have RNA binding activity and role in ribosomal large subunit biogenesis, stress granule assembly, translational initiation	-1.83e+00	1.29e-05	-9.76e-01	1.35e-03	-1.30e-01	3.42e-01	-6.55e-01	8.98e-03	-2.19e+00	-1.36e+00	-4.88e-01	-1.25e+00	-1	0	0	0	REGULATION	TRANSLATION	F2	CAGL0E03289g	OFF	DOWN	0	0	0	CAGL0E03289g	YGR162W	S000003394	YGR162W	TIF4631	Translation initiation factor eIF4G; subunit of the mRNA cap-binding protein complex (eIF4F) that also contains eIF4E (Cdc33p); interacts with Pab1p and with eIF4A (Tif1p); also has a role in biogenesis of the large ribosomal subunit; TIF4631 has a paralog, TIF4632, that arose from the whole genome duplication	6.17e-01	1.12e-01	-2.75e-01	1.86e-01
CAGL0E03520g		Ortholog(s) have structural constituent of ribosome activity and mitochondrial large ribosomal subunit localization	-7.64e-01	3.27e-04	-7.32e-02	7.14e-01	-1.73e-01	1.16e-01	1.23e+00	8.27e-03	-9.50e-01	-1.69e-01	-5.94e-01	2.04e+00	0	0	0	1	METABOLISM	MITOCHONDRIAL BIOGENESIS	F1	CAGL0E03520g	OFF	0	0	0	UP	CAGL0E03520g	YLR312W-A	S000004304	YLR312W-A	MRPL15	Mitochondrial ribosomal protein of the large subunit	-1.44e+00	5.10e-02	-1.44e-01	5.27e-01
CAGL0E03850g		Has domain(s) with predicted electron transfer activity, iron-sulfur cluster binding, oxidoreductase activity and role in oxidation-reduction process, tricarboxylic acid cycle	-2.34e+00	6.99e-06	-2.64e+00	1.14e-06	1.52e-01	3.32e-01	2.13e+00	1.25e-04	-2.79e+00	-3.55e+00	2.08e-01	3.62e+00	-1	-1	0	1	REDOX SIGNALING	RESPIRATORY CHAIN	F3	CAGL0E03850g	Type I	DOWN	DOWN	0	UP	CAGL0E03850g	YLL041C	S000003964	YLL041C	SDH2	Iron-sulfur protein subunit of succinate dehydrogenase; the complex couples the oxidation of succinate to the transfer of electrons to ubiquinone as part of the TCA cycle and the mitochondrial respiratory chain; other members are Sdh1p, Sdh3p, and Sdh4p	1.24e-01	6.71e-01	-4.89e-01	4.76e-02
CAGL0E03916g		Ortholog(s) have glycerol kinase activity, role in glycerol metabolic process and mitochondrion localization	1.33e-01	5.15e-01	2.81e-01	1.97e-01	1.39e+00	9.58e-05	1.37e+00	1.86e-04	9.82e-02	2.96e-01	3.26e+00	2.28e+00	0	0	1	1	METABOLISM	ENERGY PRODUCTION (RESPIRATORY)	F1	CAGL0E03916g	OFF	0	0	UP	UP	CAGL0E03916g	YHL032C	S000001024	YHL032C	GUT1	Glycerol kinase; converts glycerol to glycerol-3-phosphate; glucose repression of expression is mediated by Adr1p and Ino2p-Ino4p; derepression of expression on non-fermentable carbon sources is mediated by Opi1p and Rsf1p	 NA	 NA	 NA	 NA
CAGL0E03938g		Ortholog(s) have role in maturation of LSU-rRNA and cytosolic large ribosomal subunit localization	-2.44e+00	1.38e-05	-1.60e+00	6.57e-05	-5.20e-01	1.46e-02	-9.71e-01	2.42e-03	-2.90e+00	-2.17e+00	-1.45e+00	-1.81e+00	-1	-1	0	0	METABOLISM	RIBOSOMAL BIOGENESIS	F1	CAGL0E03938g	Type II	DOWN	DOWN	0	DOWN	CAGL0E03938g	YHL033C	S000001025	YHL033C	RPL8A	Ribosomal 60S subunit protein L8A; required for processing of 27SA3 pre-rRNA to 27SB pre-rRNA during assembly of large ribosomal subunit; depletion leads to a turnover of pre-rRNA; L8 binds to Domain I of 25S and 5.8 S rRNAs; mutation results in decreased amounts of free 60S subunits; homologous to mammalian ribosomal protein L7A, no bacterial homolog; RPL8A has a paralog, RPL8B, that arose from the whole genome duplication	3.40e-01	4.15e-01	-2.44e-01	1.31e-01
CAGL0E04092g	SIT1	Putative siderophore-iron transporter with 14 transmembrane domains; required for iron-dependent survival in macrophages; mRNA levels elevated under iron deficiency conditions; plasma membrane localized	2.77e+00	3.66e-05	3.78e+00	3.94e-06	-1.91e+00	2.45e-04	2.13e-01	4.93e-01	3.18e+00	4.89e+00	-4.89e+00	2.63e-01	1	1	-1	0	TRANSPORT / TRAFFICKING	PLASMA MEMBRANE	F4	CAGL0E04092g	Type I	UP	UP	DOWN	0	CAGL0E04092g	YHL040C	S000001032	YHL040C	ARN1	ARN family transporter for siderophore-iron chelates; responsible for uptake of iron bound to ferrirubin, ferrirhodin, and related siderophores; protein increases in abundance and relocalizes to the vacuole upon DNA replication stress	-3.85e-01	7.20e-01	1.51e+00	4.15e-02
CAGL0E04224g		Protein of unknown function	1.69e-01	2.25e-01	2.81e-01	1.99e-01	4.75e-01	1.07e-02	1.45e+00	1.03e-03	1.40e-01	2.96e-01	1.01e+00	2.43e+00	0	0	0	1	UNCLASSIFIED	_	Others	CAGL0E04224g	OFF	0	0	0	UP	CAGL0E04224g	NO_ORTHO	CAL0128938	CAGL0E04224g		Protein of unknown function	 NA	 NA	 NA	 NA
CAGL0E04334g	ERG11	Putative cytochrome P-450 lanosterol 14-alpha-demethylase; target enzyme of azole antifungal drugs; increased protein abundance in azole resistant strain	-1.25e+00	1.14e-02	-2.25e+00	1.34e-05	-8.67e-01	6.06e-04	-7.96e-01	8.72e-03	-1.52e+00	-3.03e+00	-2.31e+00	-1.50e+00	0	-1	-1	0	REDOX SIGNALING	FLAVO HEMO PROTEIN	F3	CAGL0E04334g	Type II	0	DOWN	DOWN	DOWN	CAGL0E04334g	YHR007C	S000001049	YHR007C	ERG11	Lanosterol 14-alpha-demethylase; catalyzes C-14 demethylation of lanosterol to form 4,4''-dimethyl cholesta-8,14,24-triene-3-beta-ol in ergosterol biosynthesis pathway; transcriptionally down-regulated when ergosterol is in excess; member of cytochrome P450 family; associated and coordinately regulated with the P450 reductase Ncp1p; human CYP51A1 functionally complements the lethality of the erg11 null mutation	6.09e-01	7.81e-02	-1.17e+00	2.05e-03
CAGL0E04510g		Ortholog(s) have phospholipase activity, role in cardiolipin metabolic process, phosphatidylethanolamine metabolic process, phospholipid metabolic process and mitochondrial matrix localization	1.93e+00	3.01e-06	2.33e+00	1.40e-06	3.17e-01	1.45e-02	4.35e-01	4.87e-02	2.20e+00	2.99e+00	6.16e-01	6.52e-01	1	1	0	0	METABOLISM	MITOCHONDRIAL BIOGENESIS	F1	CAGL0E04510g	OFF	UP	UP	0	0	CAGL0E04510g	YOR022C	S000005548	YOR022C	DDL1	DDHD domain-containing phospholipase A1; mitochondrial matrix enzyme with sn-1-specific activity, hydrolyzing cardiolipin, PE, PC, PG and PA; implicated in remodeling of mitochondrial phospholipids; antagonistically regulated by Aft1p and Aft2p; in humans, mutations in DDHD1 and DDHD2 genes cause specific types of hereditary spastic paraplegia, while DDL1-defective yeast share similar phenotypes such as mitochondrial dysfunction and defects in lipid metabolism	 NA	 NA	 NA	 NA
CAGL0E04548g		Ortholog of S. cerevisiae : YOR020W-A and Saccharomyces cerevisiae S288C : YOR020W-A	2.83e+00	2.23e-05	2.98e+00	4.12e-06	6.65e-01	8.96e-03	9.97e-01	3.72e-03	3.25e+00	3.84e+00	1.47e+00	1.63e+00	1	1	0	0	UNCLASSIFIED	_	Others	CAGL0E04548g	Type II	UP	UP	0	UP	CAGL0E04548g	YOR020W-A	S000028526	YOR020W-A		Putative protein of unknown function; conserved in A. gossypii; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies	 NA	 NA	 NA	 NA
CAGL0E04554g		Putative protein; gene is upregulated in azole-resistant strain	1.07e+00	1.12e-02	1.86e+00	4.59e-04	7.38e-01	1.61e-03	2.38e+00	4.38e-05	1.19e+00	2.37e+00	1.66e+00	4.06e+00	0	1	0	1	UNCLASSIFIED	_	Others	CAGL0E04554g	Type II	0	UP	UP	UP	CAGL0E04554g	NO_ORTHO	CAL0128620	CAGL0E04554g		Putative protein; gene is upregulated in azole-resistant strain	 NA	 NA	 NA	 NA
CAGL0E04884g		Ortholog(s) have DNA-binding transcription factor activity, RNA polymerase II-specific and RNA polymerase II activating transcription factor binding, more	1.30e+00	4.17e-04	6.44e-01	1.59e-02	1.28e+00	3.38e-05	1.66e+00	2.46e-04	1.46e+00	7.74e-01	3.00e+00	2.79e+00	0	0	1	1	REGULATION	TRANSCRIPTIONAL REGULATOR	F2	CAGL0E04884g	OFF	0	0	UP	UP	CAGL0E04884g	YDR216W	S000002624	YDR216W	ADR1	Carbon source-responsive zinc-finger transcription factor; required for transcription of the glucose-repressed gene ADH2, of peroxisomal protein genes, and of genes required for ethanol, glycerol, and fatty acid utilization	 NA	 NA	 NA	 NA
CAGL0E04994g		Ortholog(s) have structural constituent of ribosome activity, role in cytoplasmic translation and cytosolic large ribosomal subunit localization	-1.68e+00	1.62e-04	-9.83e-01	6.99e-04	-5.83e-04	9.97e-01	-7.69e-01	4.79e-03	-2.02e+00	-1.37e+00	-1.69e-01	-1.45e+00	-1	0	0	0	METABOLISM	RIBOSOMAL BIOGENESIS	F1	CAGL0E04994g	OFF	DOWN	0	0	0	CAGL0E04994g	YGL147C	S000003115	YGL147C	RPL9A	Ribosomal 60S subunit protein L9A; homologous to mammalian ribosomal protein L9 and bacterial L6; RPL9A has a paralog, RPL9B, that arose from a single-locus duplication	5.69e-01	2.00e-01	-3.44e-01	1.52e-01
CAGL0E05148g		Ortholog(s) have alpha-mannosidase activity, role in mannose catabolic process, oligosaccharide catabolic process and Cvt complex, fungal-type vacuole membrane localization	2.38e+00	2.52e-04	1.95e+00	1.77e-04	1.63e-01	1.17e-01	9.06e-01	1.28e-02	2.72e+00	2.49e+00	2.36e-01	1.48e+00	1	1	0	0	METABOLISM	POST TRANSLATIONAL MODIFICATION	F1	CAGL0E05148g	OFF	UP	UP	0	0	CAGL0E05148g	YGL156W	S000003124	YGL156W	AMS1	Vacuolar alpha mannosidase; involved in free oligosaccharide (fOS) degradation; delivered to the vacuole in a novel pathway separate from the secretory pathway	6.13e-01	4.06e-01	1.17e+00	2.00e-03
CAGL0E05170g	GRE2(A)	Putative methylglyoxal reductase (NADPH-dependent)	1.86e+00	1.78e-05	7.34e-01	6.94e-03	7.84e-01	1.68e-03	1.15e+00	5.65e-04	2.11e+00	8.91e-01	1.77e+00	1.91e+00	1	0	0	0	REDOX SIGNALING	NAD(P)/NAD(P)H DEPENDANT ENZYME	F3	CAGL0E05170g	Type II	UP	0	UP	UP	CAGL0E05170g	YGL157W	S000003125	YGL157W	ARI1	NADPH-dependent aldehyde reductase; utilizes aromatic and alophatic aldehyde substrates; member of the short-chain dehydrogenase/reductase superfamily	 NA	 NA	 NA	 NA
CAGL0E05346g		Ortholog(s) have fungal-type vacuole membrane, vacuolar proton-transporting V-type ATPase, V1 domain localization	9.47e-01	3.72e-04	1.50e+00	3.12e-04	-4.58e-01	9.22e-03	1.34e+00	6.26e-03	1.05e+00	1.90e+00	-1.30e+00	2.24e+00	0	0	0	1	TRANSPORT / TRAFFICKING	VACUOLAR MEMBRANE	F4	CAGL0E05346g	Type II	0	UP	0	UP	CAGL0E05346g	YOR332W	S000005859	YOR332W	VMA4	Subunit E of the V1 domain of the vacuolar H+-ATPase (V-ATPase); V-ATPase is an electrogenic proton pump found throughout the endomembrane system; V1 domain has eight subunits; required for the V1 domain to assemble onto the vacuolar membrane; protein abundance increases in response to DNA replication stress	2.32e-01	4.40e-01	8.21e-02	6.17e-01
CAGL0E05456g		Ortholog of S. cerevisiae : YOR338W, C. albicans SC5314 : C2_09880C_A, C. dubliniensis CD36 : Cd36_23960, C. parapsilosis CDC317 : CPAR2_407140 and C. auris B8441 : B9J08_001012	6.05e-01	2.57e-02	1.62e+00	4.76e-05	1.04e+00	4.06e-05	1.42e-01	5.69e-01	6.50e-01	2.06e+00	2.41e+00	1.40e-01	0	1	1	0	REGULATION	OTHERS	F2	CAGL0E05456g	Type II	0	UP	UP	0	CAGL0E05456g	YOR338W	S000005865	YOR338W		Putative protein of unknown function; YOR338W transcription is regulated by Azf1p and its transcript is a specific target of the G protein effector Scp160p; identified as being required for sporulation in a high-throughput mutant screen; YOR338W has a paralog, FUN19, that arose from the whole genome duplication	 NA	 NA	 NA	 NA
CAGL0E05500g		Ortholog(s) have RNA polymerase I activity, promoter-specific chromatin binding activity and role in nucleolar large rRNA transcription by RNA polymerase I, transcription by RNA polymerase I	-1.40e+00	5.74e-04	-1.63e+00	3.06e-04	1.55e-01	5.10e-01	-4.14e-01	1.64e-01	-1.69e+00	-2.22e+00	2.15e-01	-8.32e-01	0	-1	0	0	METABOLISM	NUCLEIC ACID METABOLISM	F1	CAGL0E05500g	OFF	DOWN	DOWN	0	0	CAGL0E05500g	YOR341W	S000005868	YOR341W	RPA190	RNA polymerase I largest subunit A190	-5.51e-01	1.37e-01	-6.00e-01	6.51e-02
CAGL0E05588g		Ortholog(s) have DNA-directed DNA polymerase activity, deoxycytidyl transferase activity and role in error-free translesion synthesis, error-prone translesion synthesis	1.64e+00	3.53e-05	1.81e+00	5.05e-05	1.41e-01	3.79e-01	-8.91e-01	5.42e-03	1.86e+00	2.31e+00	1.81e-01	-1.67e+00	0	1	0	0	STRESS RESPONSE	_	Others	CAGL0E05588g	Type I	UP	UP	0	DOWN	CAGL0E05588g	YOR346W	S000005873	YOR346W	REV1	Deoxycytidyl transferase; involved in repair of abasic sites and adducted guanines in damaged DNA by translesion synthesis (TLS); forms a complex with the subunits of DNA polymerase zeta, Rev3p and Rev7p; relocalizes from nucleus to cytoplasm upon DNA replication stress	 NA	 NA	 NA	 NA
CAGL0E05654g		Ortholog(s) have phosphatidylglycerol phospholipase C activity, role in cell-abiotic substrate adhesion, glycerophospholipid catabolic process, phosphatidylglycerol catabolic process and lipid droplet, mitochondrion localization	2.67e+00	3.01e-06	1.45e-01	5.29e-01	1.70e+00	2.86e-05	1.28e+00	4.01e-04	3.06e+00	1.17e-01	4.04e+00	2.14e+00	1	0	1	1	METABOLISM	FATTY ACID AND LIPIDS	F1	CAGL0E05654g	Type II	UP	0	UP	UP	CAGL0E05654g	YPL206C	S000006127	YPL206C	PGC1	Phosphatidylglycerol phospholipase C; regulates phosphatidylglycerol (PG) accumulation via a phospholipase C-type degradation mechanism; PG levels affect mitochondrial function; contains glycerophosphodiester phosphodiesterase motifs	 NA	 NA	 NA	 NA
CAGL0E05830g		Ortholog(s) have mRNA binding, ribosome binding activity and role in mitochondrial respiratory chain complex III assembly, positive regulation of mitochondrial translation	-8.10e-01	7.44e-04	-2.93e-01	1.53e-01	-9.32e-02	4.27e-01	1.72e+00	1.17e-03	-1.00e+00	-4.58e-01	-3.98e-01	2.90e+00	0	0	0	1	REGULATION	OTHERS	F2	CAGL0E05830g	OFF	0	0	0	UP	CAGL0E05830g	YPL215W	S000006136	YPL215W	CBP3	Mitochondrial protein required for assembly of cytochrome bc1 complex; forms a complex with Cbp6p that binds to mt ribosomes near the polypeptide tunnel exit and promotes efficient translation of the COB mRNA; Cbp3p-Cbp6p complex also interacts with newly synthesized cytochrome b (Cobp) and Cbp4p to promote assembly of Cobp into the cytochrome bc1 complex; Cbp3p-Cbp6p complex is sequestered if assembly of Complex III is blocked, downregulating COB mRNA translation	1.09e+00	5.41e-02	-1.30e-01	3.93e-01
CAGL0E06072g		Ortholog of S. cerevisiae : YMR181C and Saccharomyces cerevisiae S288C : YMR181C	2.01e+00	1.13e-05	1.23e+00	4.86e-04	-2.98e-01	2.82e-02	7.63e-01	1.86e-02	2.29e+00	1.54e+00	-9.05e-01	1.23e+00	1	0	0	0	UNCLASSIFIED	_	Others	CAGL0E06072g	OFF	UP	UP	0	0	CAGL0E06072g	YMR181C	S000004793	YMR181C		Protein of unknown function; mRNA transcribed as part of a bicistronic transcript with a predicted transcriptional repressor RGM1/YMR182C; mRNA is destroyed by nonsense-mediated decay (NMD); not an essential gene; YMR181C has a paralog, YPL229W, that arose from the whole genome duplication	 NA	 NA	 NA	 NA
